park,year,total_visitors,visitor_spending,average_spending
Bryce Canyon National Park,2016,"2,365,111","200,974.10",0.08
Bryce Canyon National Park,2017,"2,571,684","212,958.50",0.08
Bryce Canyon National Park,2018,"2,679,478","227,305.00",0.08
Canyonlands National Park,2012,"452,952","25,208.90",0.06
Canyonlands National Park,2013,"462,242","26,316.30",0.06
Canyonlands National Park,2014,"542,431","31,282.70",0.06
Canyonlands National Park,2015,"634,607","37,958.80",0.06
Canyonlands National Park,2016,"776,217","47,639.70",0.06
Canyonlands National Park,2017,"742,272","44,541.80",0.06
Canyonlands National Park,2018,"739,450","45,776.00",0.06
Capitol Reef National Park,2012,"673,345","44,636.70",0.07
Capitol Reef National Park,2013,"663,670","45,086.00",0.07
Capitol Reef National Park,2014,"786,515","54,427.50",0.07
Capitol Reef National Park,2015,"941,029","66,601.60",0.07
Capitol Reef National Park,2016,"1,064,904","77,047.50",0.07
Capitol Reef National Park,2017,"1,150,165","81,284.40",0.07
Capitol Reef National Park,2018,"1,227,626","89,216.00",0.07
Carlsbad Caverns National Park,2012,"381,058","22,584.70",0.06
Carlsbad Caverns National Park,2013,"388,565","23,589.70",0.06
Carlsbad Caverns National Park,2014,"397,309","24,544.80",0.06
Carlsbad Caverns National Park,2015,"445,721","28,116.10",0.06
Carlsbad Caverns National Park,2016,"466,772","30,064.00",0.06
Carlsbad Caverns National Park,2017,"520,026","32,750.00",0.06
Carlsbad Caverns National Park,2018,"465,912","30,238.00",0.06
Channel Islands National Park,2012,"249,594","13,997.10",0.06
Channel Islands National Park,2013,"212,028","11,907.90",0.06
Channel Islands National Park,2014,"342,161","20,248.60",0.06
Channel Islands National Park,2015,"324,815","19,286.20",0.06
Channel Islands National Park,2016,"364,808","22,436.00",0.06
Channel Islands National Park,2017,"383,687","23,095.10",0.06
Channel Islands National Park,2018,"366,249","22,907.00",0.06
Congaree National Park,2012,"109,685","5,144.00",0.05
Congaree National Park,2013,"120,341","5,822.70",0.05
Congaree National Park,2014,"120,123","5,945.60",0.05
Congaree National Park,2015,"87,513","4,370.20",0.05
Congaree National Park,2016,"143,843","7,307.30",0.05
Congaree National Park,2017,"159,595","7,827.50",0.05
Congaree National Park,2018,"145,928","7,415.00",0.05
Crater Lake National Park,2012,"447,251","36,097.00",0.08
Crater Lake National Park,2013,"523,027","43,652.10",0.08
Crater Lake National Park,2014,"535,508","44,787.60",0.08
Crater Lake National Park,2015,"614,712","52,185.00",0.08
Crater Lake National Park,2016,"756,343","65,300.70",0.09
Crater Lake National Park,2017,"711,749","59,899.50",0.08
Crater Lake National Park,2018,"720,658","62,399.00",0.09
Cuyahoga Valley National Park,2012,"2,299,722","136,751.80",0.06
Cuyahoga Valley National Park,2013,"2,103,010","128,157.00",0.06
Cuyahoga Valley National Park,2014,"2,189,849","135,805.00",0.06
Cuyahoga Valley National Park,2015,"2,284,612","144,710.30",0.06
Cuyahoga Valley National Park,2016,"2,423,391","69,728.20",0.03
Cuyahoga Valley National Park,2017,"2,226,879","63,098.60",0.03
Cuyahoga Valley National Park,2018,"2,096,053","36,811.00",0.02
Death Valley National Park,2012,"984,568","77,966.60",0.08
Death Valley National Park,2013,"951,973","75,255.10",0.08
Death Valley National Park,2014,"1,101,312","89,177.40",0.08
Death Valley National Park,2015,"1,154,843","95,036.90",0.08
Death Valley National Park,2016,"1,296,283","108,077.80",0.08
Death Valley National Park,2017,"1,294,827","106,839.20",0.08
Death Valley National Park,2018,"1,678,659","141,260.00",0.08
Denali National Park,2012,"388,433","371,501.10",0.96
Denali National Park,2013,"530,921","513,335.20",0.97
Denali National Park,2014,"531,315","524,279.20",0.99
Denali National Park,2015,"560,757","567,166.40",1.01
Denali National Park,2016,"587,412","604,881.90",1.03
Denali National Park,2017,"642,809","632,370.40",0.98
Denali National Park,2018,"594,661","602,445.00",1.01
Dry Tortugas National Park,2012,"60,550","3,210.60",0.05
Dry Tortugas National Park,2013,"58,400","3,389.70",0.06
Dry Tortugas National Park,2014,"64,865","3,783.60",0.06
Dry Tortugas National Park,2015,"70,862","4,235.90",0.06
Dry Tortugas National Park,2016,"73,661","4,410.00",0.06
Dry Tortugas National Park,2017,"54,280","3,190.30",0.06
Dry Tortugas National Park,2018,"56,810","3,426.00",0.06
Everglades National Park,2012,"1,141,906","102,764.60",0.09
Everglades National Park,2013,"1,047,116","96,627.00",0.09
Everglades National Park,2014,"1,110,900","104,476.50",0.09
Everglades National Park,2015,"1,077,427","103,392.60",0.10
Everglades National Park,2016,"930,907","91,321.40",0.10
Everglades National Park,2017,"1,018,557","97,398.30",0.10
