park,beautiful,amazing,great,awesome,worth,spectacular,stunning,best,wonderful,nice,fantastic,gorgeous,incredible,absolutely,natural,good,interesting,big,excellent,unique,favorite,south,early,magnificent,majestic,spending,average_spend,Scored Labels,
Lassen Volcanic National Park,0.024096,0.005917,0.038674,0.030488,0.017544,0.011111,0.034483,0,0.022727,0.103448,0.026316,0.029412,0,0,0.028169,0,0.052632,0,0.1,0.03125,0,0,0,0,0,27361.5,0.025641,21058.866217,
American Samoa National Park,0.009036,0.002959,0.005525,0,0,0,0,0,0,0.103448,0.026316,0,0,0,0,0,0.026316,0,0.05,0.03125,0,0.008929,0,0,0,1690,0.025641,-3628.741658,
Grand Canyon National Park,0.551205,1,0.740331,1,0.429825,0.833333,0.793103,0.768116,0.863636,0.241379,0.947368,0.470588,0.738095,0.6,1,0.869565,0.105263,0.315068,1,0.1875,0.104167,0.955357,0.26087,0.9,1,584890.9,0.057692,446101.277595,
Petrified Forest National Park,0.268072,0.204142,0.19337,0.103659,0.315789,0.044444,0.149425,0.101449,0.136364,0.344828,0.157895,0.235294,0.119048,0.22,0.183099,0.304348,0.868421,0,0.1,0.34375,0,0.017857,0.043478,0.033333,0.032258,50032.4,0.025641,82715.106755,
Hot Springs National Park,0.054217,0.008876,0.055249,0.006098,0.026316,0,0,0.014493,0.090909,0.172414,0.026316,0,0,0,0,0.173913,0.315789,0,0.1,0.15625,0.020833,0,0,0.033333,0,97291,0.025641,82986.077935,
Channel Islands National Park,0.012048,0.005917,0.016575,0.006098,0.017544,0,0,0,0,0.034483,0,0.029412,0,0.02,0,0,0,0,0.05,0.03125,0,0,0,0,0,20248.6,0.025641,21000.785197,
Grand Teton National Park,0.129518,0.053254,0.071823,0.030488,0.026316,0.155556,0.218391,0.115942,0.068182,0.068966,0.131579,0.147059,0.047619,0.12,0.014085,0.043478,0,0,0.2,0,0.0625,0,0,0.133333,0.225806,589903.9,0.102564,590566.167274,
Denali National Park,0.03012,0.014793,0.077348,0.042683,0.026316,0.011111,0,0.043478,0,0.068966,0,0.029412,0.119048,0.04,0,0.086957,0,0.041096,0.1,0,0,0.008929,0.021739,0.1,0.225806,371501.1,0.602564,529013.504473,
Bryce Canyon National Park,0.35241,0.316568,0.292818,0.268293,0.105263,0.622222,0.54023,0.463768,0.272727,0.241379,0.315789,0.441176,0.47619,0.34,0.112676,0.173913,0.078947,0,0.2,0.625,0.604167,0,0.065217,0.333333,0.193548,200974.1,0.038462,129697.566001,
Kings Canyon National Park,0.039157,0.029586,0.044199,0.012195,0.026316,0.022222,0.011494,0.014493,0.045455,0.034483,0.052632,0.058824,0.047619,0,0,0.043478,0,0,0.1,0,0.020833,0,0.021739,0.033333,0.064516,42507.7,0.038462,51564.97976,
Capitol Reef National Park,0.024096,0.011834,0.016575,0.006098,0.026316,0.011111,0.034483,0.072464,0.068182,0.103448,0,0,0.071429,0,0.028169,0.043478,0.026316,0,0.05,0.03125,0.020833,0,0,0,0,44636.7,0.032051,80891.623952,
Congaree National Park,0.006024,0.011834,0.044199,0.012195,0.04386,0,0,0,0,0.137931,0.026316,0,0,0,0,0.043478,0.131579,0.068493,0,0.09375,0,0.008929,0,0,0,4370.2,0.019231,4306.178115,
Bryce Canyon National Park,0.087349,0.073964,0.066298,0.060976,0.035088,0.133333,0.08046,0.086957,0.136364,0.034483,0.052632,0.117647,0.095238,0.1,0.056338,0.043478,0.052632,0,0.2,0.15625,0.083333,0,0,0.1,0,108946.2,0.038462,114044.609254,
Grand Teton National Park,0.168675,0.029586,0.077348,0.036585,0.017544,0.2,0.091954,0.086957,0.113636,0.103448,0.078947,0.058824,0.02381,0.08,0.028169,0.043478,0,0.013699,0.15,0,0.083333,0,0,0.2,0.451613,489710.1,0.102564,532044.933311,
Glacier National Park,0.093373,0.047337,0.088398,0.097561,0.04386,0.188889,0.057471,0.101449,0.204545,0.137931,0.131579,0.205882,0.047619,0,0.014085,0.086957,0,0,0.1,0.03125,0,0,0.108696,0.066667,0,193345.6,0.038462,147283.256897,
